"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Stephen Curry","GSW","28:50","10","18","6","13","0","0","1","4","5","6","4","0","2","1","26",".556",".462",""
"Kobe Bryant","LAL","25:49","4","11","1","5","1","2","1","5","6","7","1","0","1","1","10",".364",".200",".500"
"Kawhi Leonard","SAS","25:39","8","15","1","6","0","0","3","3","6","3","2","0","2","0","17",".533",".167",""
"Kevin Durant","OKC","22:55","11","18","1","8","0","0","2","3","5","7","2","0","0","0","23",".611",".125",""
"Russell Westbrook","OKC","22:11","12","23","7","17","0","0","3","5","8","5","5","0","3","1","31",".522",".412",""
"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"James Harden","HOU","21:05","8","14","7","12","0","0","0","4","4","3","0","0","1","0","23",".571",".583",""
"Klay Thompson","GSW","21:05","3","11","3","10","0","0","1","1","2","2","1","0","0","0","9",".273",".300",""
"Chris Paul","LAC","19:10","5","7","4","6","0","0","0","4","4","16","1","0","4","1","14",".714",".667",""
"Anthony Davis","NOP","15:19","12","13","0","0","0","0","3","3","6","0","1","0","0","1","24",".923","",""
"LaMarcus Aldridge","SAS","14:13","2","8","0","1","0","0","1","3","4","1","1","0","0","0","4",".250",".000",""
"Draymond Green","GSW","12:08","2","6","0","1","0","0","1","4","5","0","2","0","1","1","4",".333",".000",""
"DeMarcus Cousins","SAC","11:36","5","5","1","1","0","0","1","3","4","1","0","0","0","2","11","1.000","1.000",""
"Team Totals","","240","82","149","31","80","1","2","17","42","59","51","20","0","14","8","196",".550",".388",".500"
