,Player,season
1,Carmelo Anthony,10
2,Dirk Nowitzki,10
3,Steve Nash,10
4,Amar'e Stoudemire,10
5,Tim Duncan,10
6,,10
8,Deron Williams,10
9,Chauncey Billups,10
10,Pau Gasol,10
11,Kevin Durant,10
12,Zach Randolph,10
13,Chris Kaman,10
14,Jason Kidd,10
1,Kevin Durant,11
2,Kobe Bryant,11
3,Chris Paul,11
4,Carmelo Anthony,11
5,Tim Duncan,11
6,,11
8,Pau Gasol,11
9,Manu Ginóbili,11
10,Deron Williams,11
11,Blake Griffin,11
12,Dirk Nowitzki,11
13,Russell Westbrook,11
14,Kevin Love,11
1,Kevin Durant,12
2,Kobe Bryant,12
3,Blake Griffin,12
4,Chris Paul,12
5,Andrew Bynum,12
6,,12
8,Russell Westbrook,12
9,Kevin Love,12
10,Dirk Nowitzki,12
11,Marc Gasol,12
12,Tony Parker,12
13,LaMarcus Aldridge,12
14,Steve Nash,12
1,Kevin Durant,13
2,Kobe Bryant,13
3,Blake Griffin,13
4,Chris Paul,13
5,Dwight Howard,13
6,,13
8,James Harden,13
9,Tony Parker,13
10,Russell Westbrook,13
11,David Lee,13
12,Zach Randolph,13
13,LaMarcus Aldridge,13
14,Tim Duncan,13
1,Kevin Durant,14
2,Kevin Love,14
3,Blake Griffin,14
4,Stephen Curry,14
5,James Harden,14
6,,14
8,Chris Paul,14
9,Dwight Howard,14
10,LaMarcus Aldridge,14
11,Tony Parker,14
12,Anthony Davis,14
13,Damian Lillard,14
14,Dirk Nowitzki,14
1,James Harden,15
2,Stephen Curry,15
3,Marc Gasol,15
4,Klay Thompson,15
5,LaMarcus Aldridge,15
6,,15
8,Chris Paul,15
9,Russell Westbrook,15
10,DeMarcus Cousins,15
11,Damian Lillard,15
12,Tim Duncan,15
13,Dirk Nowitzki,15
14,Kevin Durant,15
1,Stephen Curry,16
2,Kobe Bryant,16
3,Kawhi Leonard,16
4,Kevin Durant,16
5,Russell Westbrook,16
6,,16
8,James Harden,16
9,Klay Thompson,16
10,Chris Paul,16
11,Anthony Davis,16
12,LaMarcus Aldridge,16
13,Draymond Green,16
14,DeMarcus Cousins,16
1,Anthony Davis,17
2,James Harden,17
3,Stephen Curry,17
4,Kevin Durant,17
5,Kawhi Leonard,17
6,,17
8,Marc Gasol,17
9,Russell Westbrook,17
10,Klay Thompson,17
11,Gordon Hayward,17
12,Draymond Green,17
13,DeAndre Jordan,17
14,DeMarcus Cousins,17
1,LeBron James,18
2,Kevin Durant,18
3,Russell Westbrook,18
4,Kyrie Irving,18
5,Anthony Davis,18
6,,18
8,Paul George,18
9,Andre Drummond,18
10,Bradley Beal,18
11,Victor Oladipo,18
12,Kemba Walker,18
13,Goran Dragić,18
14,LaMarcus Aldridge,18
1,LeBron James,19
2,James Harden,19
3,Kevin Durant,19
4,Kyrie Irving,19
5,Kawhi Leonard,19
6,,19
8,Damian Lillard,19
9,Klay Thompson,19
10,Bradley Beal,19
11,Ben Simmons,19
12,Karl-Anthony Towns,19
13,LaMarcus Aldridge,19
14,Dwyane Wade,19
15,Anthony Davis,19
1,Kawhi Leonard,20
2,Anthony Davis,20
3,LeBron James,20
4,James Harden,20
5,Luka Dončić,20
6,,20
8,Ben Simmons,20
9,Russell Westbrook,20
10,Chris Paul,20
11,Devin Booker,20
12,Domantas Sabonis,20
13,Jayson Tatum,20
14,Nikola Jokić,20
1,Luka Dončić,21
2,Stephen Curry,21
3,Giannis Antetokounmpo,21
4,Nikola Jokić,21
5,LeBron James,21
6,,21
8,Chris Paul,21
9,Jaylen Brown,21
10,Paul George,21
11,Damian Lillard,21
12,Domantas Sabonis,21
13,Rudy Gobert,21
1,LeBron James,10
2,Dwyane Wade,10
3,Dwight Howard,10
4,Joe Johnson,10
5,Kevin Garnett,10
6,,10
8,Chris Bosh,10
9,Rajon Rondo,10
10,Gerald Wallace,10
11,Derrick Rose,10
12,Al Horford,10
13,David Lee,10
14,Paul Pierce,10
1,LeBron James,11
2,Derrick Rose,11
3,Amar'e Stoudemire,11
4,Dwight Howard,11
5,Dwyane Wade,11
6,,11
8,Chris Bosh,11
9,Rajon Rondo,11
10,Joe Johnson,11
11,Ray Allen,11
12,Paul Pierce,11
13,Al Horford,11
14,Kevin Garnett,11
1,Dwyane Wade,12
2,LeBron James,12
3,Dwight Howard,12
4,Carmelo Anthony,12
5,Derrick Rose,12
6,,12
8,Chris Bosh,12
9,Deron Williams,12
10,Rajon Rondo,12
11,Andre Iguodala,12
12,Paul Pierce,12
13,Roy Hibbert,12
